fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Year
2005-12-31,USD,60964000000,89724000000,28760000000,28760000000,20966000000,11183000000,None,39998000000,None,None,None,28760000000,None,None,None,2213000000,20966000000,5093000000,None,None,None,20966000000,23179000000,15081000000,2005
2006-12-31,USD,69240000000,110633000000,41393000000,41393000000,22086000000,12823000000,None,47154000000,None,None,None,41393000000,None,None,None,2528000000,22086000000,5215000000,None,None,None,22086000000,24614000000,15789000000,2006
2007-12-31,USD,86247000000,140811000000,54564000000,54564000000,24212000000,15294000000,None,62035000000,None,None,None,54564000000,None,None,None,2522000000,24212000000,3757000000,None,None,None,24212000000,26734000000,19133000000,2007
2008-12-31,USD,84638000000,133376000000,48738000000,48738000000,9307000000,15260000000,None,75331000000,None,None,None,48738000000,None,None,None,13367000000,9307000000,2809000000,None,None,None,9307000000,22674000000,5728000000,2008
2009-12-31,USD,76239000000,97605000000,21366000000,21366000000,7079000000,13392000000,None,69160000000,None,None,None,21366000000,None,None,None,2538000000,7079000000,385000000,None,None,None,7079000000,9617000000,5834000000,2009
2010-12-31,USD,78916000000,97820000000,18904000000,18904000000,19037000000,15156000000,None,59879000000,None,None,None,18904000000,None,None,None,2696000000,19037000000,4846000000,None,None,None,19037000000,21733000000,13159000000,2010
2011-12-31,USD,82510000000,104853000000,22343000000,22343000000,21872000000,17459000000,None,60638000000,None,None,None,22343000000,None,None,None,2920000000,21872000000,3928000000,None,None,None,21872000000,24792000000,16797000000,2011
2012-12-31,USD,74750000000,93780000000,19030000000,19030000000,20649000000,19983000000,None,54101000000,None,None,None,19030000000,None,None,None,2531000000,20649000000,5315000000,None,None,None,20649000000,23180000000,14027000000,2012
2013-12-31,USD,74907000000,90560000000,15653000000,15653000000,22565000000,17065000000,None,52342000000,None,None,None,15653000000,None,None,None,2295000000,22565000000,4765000000,None,17800000000,None,22565000000,24860000000,16204000000,2013
2014-12-31,USD,74385000000,90635000000,16250000000,16250000000,18680000000,18565000000,None,55705000000,None,None,None,16250000000,None,None,None,2318000000,18680000000,3975000000,None,14705000000,None,18680000000,20998000000,13688000000,2014
2015-12-31,USD,72514000000,87172000000,14658000000,14658000000,18867000000,17662000000,None,53647000000,None,32531000000,47189000000,14658000000,None,None,None,2181000000,18867000000,3771000000,None,15096000000,None,18867000000,21048000000,13522000000,2015
2016-12-31,USD,61975000000,74576000000,12601000000,12601000000,7112000000,16473000000,None,54863000000,None,29813000000,42414000000,12601000000,None,None,None,5212000000,7112000000,3666000000,None,3446000000,None,7112000000,12324000000,2479000000,2016
2017-12-31,USD,63675000000,76494000000,12819000000,12819000000,17167000000,15707000000,None,46508000000,None,28176000000,40995000000,12819000000,None,None,None,1862000000,17167000000,5288000000,None,11879000000,None,17167000000,19029000000,10798000000,2017
2018-12-31,USD,63628000000,82748000000,19120000000,19120000000,19890000000,15353000000,None,43738000000,None,30489000000,49609000000,19120000000,None,None,None,1933000000,19890000000,4865000000,None,15025000000,None,19890000000,21823000000,13727000000,2018
2019-12-31,USD,70403000000,94636000000,24233000000,24233000000,13347000000,13828000000,None,57056000000,None,30462000000,54695000000,24233000000,None,None,None,10519000000,13347000000,4639000000,None,8708000000,None,13347000000,23866000000,7383000000,2019
2020-12-31,USD,63280000000,77458000000,14178000000,14178000000,8777000000,11115000000,None,54503000000,None,27578000000,41756000000,14178000000,None,None,None,5241000000,8777000000,2678000000,None,6099000000,None,8777000000,14018000000,5229000000,2020
2021-12-31,USD,64247000000,73946000000,9699000000,9699000000,18906000000,11592000000,None,45341000000,None,26489000000,36188000000,9699000000,None,None,None,4286000000,18906000000,4213000000,None,14693000000,None,18906000000,23192000000,13917000000,2021
2022-12-31,USD,53719000000,76168000000,22449000000,22449000000,17058000000,10848000000,None,36661000000,None,32610000000,55059000000,22449000000,None,None,None,3850000000,17058000000,809000000,None,16670000000,None,17058000000,20908000000,15559000000,2022
2023-12-31,USD,64440000000,56353000000,65072000000,65072000000,26110000000,10383000000,None,34092000000,None,35796000000,100868000000,65072000000,None,None,None,3466000000,30348000000,5789000000,None,24559000000,None,30348000000,33814000000,23533000000,2023
2024-12-31,USD,67396000000,61253000000,75898000000,75898000000,30445000000,10498000000,None,30808000000,None,32733000000,108631000000,75898000000,None,None,None,4080000000,32309000000,7310000000,None,24999000000,None,32309000000,36389000000,23979000000,2024
